
2024/04/01 (09:33:05) | ===> btop++ v.1.2.13
2024/04/01 (09:33:05) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/01 (09:33:09) | ===> btop++ v.1.2.13
2024/04/01 (09:33:09) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/01 (11:55:05) | ===> btop++ v.1.2.13
2024/04/01 (11:55:05) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/01 (12:02:01) | ===> btop++ v.1.2.13
2024/04/01 (12:02:01) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/01 (15:18:30) | ===> btop++ v.1.2.13
2024/04/01 (15:18:30) | ERROR: Exception in runner thread -> Cpu:: -> key not found
